ABE ATL 0.00025604218253660166
ABE CLE 0.0002494346423421087
ABE CLT 0.00010241687301464066
ABE CVG 8.754990757703152e-05
ABE DTW 0.0002808204582659502
ABE JFK 1.6518850486232365e-06
ABE MKE 1.6518850486232365e-06
ABE ORD 0.0003898448714750838
ABI DFW 0.0007929048233391535
ABQ AMA 0.00010241687301464066
ABQ ATL 0.000300643078849429
ABQ AUS 0.0001916186656402954
ABQ BWI 0.00010241687301464066
ABQ CVG 8.920179262565477e-05
ABQ DAL 0.0008573283402354597
ABQ DEN 0.0007995123635336464
ABQ DFW 0.0008061199037281394
ABQ ELP 0.0002692572629255875
ABQ EWR 5.2860321555943567e-05
ABQ HOU 0.0002824723433145734
ABQ IAD 0.00010241687301464066
ABQ IAH 0.000601286157698858
ABQ LAS 0.0006690134446924107
ABQ LAX 0.0006904879503245128
ABQ LBB 0.00010241687301464066
ABQ MAF 0.00010241687301464066
ABQ MCI 0.00019822620583478836
ABQ MCO 0.00020483374602928132
ABQ MDW 0.00020483374602928132
ABQ MSP 0.00012058760854949625
ABQ OAK 0.0002824723433145734
ABQ OKC 0.00010241687301464066
ABQ OMA 1.6518850486232365e-06
ABQ ONT 0.0001916186656402954
ABQ ORD 0.00010241687301464066
ABQ PDX 0.00010241687301464066
ABQ PHX 0.0015775502214351908
ABQ SAN 0.0002989911938008058
ABQ SAT 0.0001949224357375419
ABQ SEA 0.00019822620583478836
ABQ SFO 0.00012058760854949625
ABQ SLC 0.0006442351689630622
ABQ SMF 0.00020318186098065808
ABQ STL 0.00010241687301464066
ABQ TPA 0.00010241687301464066
ABQ TUL 0.00010406875806326389
ABQ TUS 0.00020648563107790455
ABY ATL 0.00033698454991914025
ACT DFW 0.0006904879503245128
ACV CEC 0.00010076498796601743
ACV MRY 3.303770097246473e-06
ACV SFO 0.0007119624559566149
ACV SJC 1.6518850486232365e-06
ACV SMF 0.00017344793010543982
ACY ATL 0.00010076498796601743
ACY LGA 1.6518850486232365e-06
ADK ANC 2.9733930875218255e-05
ADQ ANC 0.00020483374602928132
AEX ATL 0.0002808204582659502
AEX DFW 0.000307250619043922
AEX IAH 9.0853677674278e-05
AGS ATL 0.0006690134446924107
ALB ATL 0.0003568071705026191
ALB BWI 0.0006723172147896572
ALB CLE 0.0002824723433145734
ALB CLT 0.00028742799846044316
ALB CVG 0.0002808204582659502
ALB DCA 9.58093328201477e-05
ALB DTW 0.0002940355386549361
ALB EWR 0.00037828167613472113
ALB JFK 3.303770097246473e-06
ALB LAS 0.00010076498796601743
ALB MCO 0.00030559873399529876
ALB MDW 0.00020483374602928132
ALB MSP 7.598671223666888e-05
ALB ORD 0.0004988692846842174
ALB PHL 0.00010241687301464066
ALB TPA 0.00010241687301464066
ALO MSP 8.920179262565477e-05
AMA DAL 0.0007516076971235726
AMA DEN 0.00020318186098065808
AMA DFW 0.0007218737662483543
AMA IAH 0.00018996678059167218
AMA LAS 0.00010241687301464066
AMA SAT 1.6518850486232365e-06
ANC BET 0.0002907317685576896
ANC BRW 5.120843650732033e-05
ANC CDV 0.00010241687301464066
ANC FAI 0.000971308408590463
ANC HNL 0.00010076498796601743
ANC IAH 1.9822620583478836e-05
ANC JNU 0.00030559873399529876
ANC LAS 5.2860321555943567e-05
ANC MSP 0.0001222394935981195
ANC OME 0.00015197342447333776
ANC ORD 0.00010076498796601743
ANC OTZ 0.00015197342447333776
ANC PDX 0.00010076498796601743
ANC PHX 0.00010076498796601743
ANC SCC 0.00010241687301464066
ANC SEA 0.0013396787744334446
ANC SLC 0.00010076498796601743
ASE DEN 0.0014272286820104763
ASE LAX 0.00019657432078616513
ASE MSN 1.6518850486232365e-06
ASE ORD 0.000300643078849429
ASE PHX 0.00011893572350087302
ASE SFO 5.120843650732033e-05
ASE SLC 0.0002940355386549361
ATL ATW 0.00026099783768247136
ATL AUS 0.0006954436054703825
ATL AVL 0.0003303770097246473
ATL AVP 0.000244478987196239
ATL BDL 0.000579811652066756
ATL BGR 8.58980225284083e-05
ATL BHM 0.0007301331914914705
ATL BMI 0.0006970954905190057
ATL BNA 0.0007433482718804564
ATL BOS 0.001516430474636131
ATL BQK 0.00020152997593203485
ATL BTR 0.0007929048233391535
ATL BTV 8.920179262565477e-05
ATL BUF 0.0010274725002436531
ATL BWI 0.001516430474636131
ATL BZN 1.9822620583478836e-05
ATL CAE 0.0007301331914914705
ATL CAK 0.0010423394656812622
ATL CHA 0.0005583371464346539
ATL CHO 0.0002411752170989925
ATL CHS 0.0010951997872372058
ATL CID 0.00010572064311188713
ATL CLE 0.0007582152373180655
ATL CLT 0.0021342354828212213
ATL CMH 0.0003568071705026191
ATL COS 0.00020318186098065808
ATL CRP 1.81707355348556e-05
ATL CRW 0.000370022250891605
ATL CSG 0.0003832373312805908
ATL CVG 0.000754911467220819
ATL DAB 0.0007796897429501676
ATL DAY 0.000901929236548287
ATL DCA 0.0020136478742717252
ATL DEN 0.0015891134167755534
ATL DFW 0.0026281491123595693
ATL DHN 0.00038488921632921406
ATL DSM 0.0002907317685576896
ATL DTW 0.0014635701530801874
ATL EGE 0.00010241687301464066
ATL ELP 0.00016188473476507717
ATL EVV 0.00039645241166957673
ATL EWN 0.00020318186098065808
ATL EWR 0.0019756545181533907
ATL EYW 0.0003039468489466755
ATL FAY 0.0005665965716777701
ATL FLL 0.0021507543333074536
ATL FLO 0.000181707355348556
ATL FNT 0.0009101886617914033
ATL FSD 8.259425243116182e-05
ATL FSM 0.0001717960450568166
ATL FWA 0.00027421291807145726
ATL GNV 0.0005649446866291468
